シーズン,集計基準日,打者名,打者球団,投手名,投手球団,対戦打席,対戦打数,安打,本塁打,四球,三振,打率,出塁率,長打率,OPS,サンプル不足フラグ,データの説明
2026,2026-08-09,牧原 大成,ソフトバンク,髙島 泰都,オリックス,5,5,1,0,0,2,0.2,0.2,0.4,0.6,はい,当該打者と投手のシーズン対戦成績。打席数が少ない値の解釈に注意。
2026,2026-08-09,桑原 将志,西武,エスピノーザ,オリックス,10,9,1,0,1,1,0.1111,0.2,0.1111,0.3111,いいえ,当該打者と投手のシーズン対戦成績。打席数が少ない値の解釈に注意。
2026,2026-08-09,桑原 将志,西武,伊藤 大海,日本ハム,9,8,2,1,0,1,0.25,0.25,0.625,0.875,はい,当該打者と投手のシーズン対戦成績。打席数が少ない値の解釈に注意。
2026,2026-08-09,桑原 将志,西武,田中 晴也,ロッテ,7,6,1,0,0,2,0.1667,0.2857,0.1667,0.4524,はい,当該打者と投手のシーズン対戦成績。打席数が少ない値の解釈に注意。
2026,2026-08-09,桑原 将志,西武,荘司 康誠,楽天,7,5,1,0,2,0,0.2,0.4286,0.2,0.6286,はい,当該打者と投手のシーズン対戦成績。打席数が少ない値の解釈に注意。
2026,2026-08-09,桑原 将志,西武,大津 亮介,ソフトバンク,6,6,1,0,0,0,0.1667,0.1667,0.1667,0.3334,はい,当該打者と投手のシーズン対戦成績。打席数が少ない値の解釈に注意。
2026,2026-08-09,桑原 将志,西武,ペルドモ,オリックス,5,4,3,0,1,0,0.75,0.8,0.75,1.55,はい,当該打者と投手のシーズン対戦成績。打席数が少ない値の解釈に注意。
2026,2026-08-09,高橋 周平,中日,村上 頌樹,阪神,6,6,2,0,0,1,0.3333,0.3333,0.3333,0.6666,はい,当該打者と投手のシーズン対戦成績。打席数が少ない値の解釈に注意。
2026,2026-08-09,高橋 周平,中日,島田 舜也,DeNA,5,5,1,0,0,2,0.2,0.2,0.4,0.6,はい,当該打者と投手のシーズン対戦成績。打席数が少ない値の解釈に注意。
2026,2026-08-09,高橋 周平,中日,平良 拳太郎,DeNA,5,5,2,0,0,1,0.4,0.4,0.4,0.8,はい,当該打者と投手のシーズン対戦成績。打席数が少ない値の解釈に注意。
2026,2026-08-09,菊池 涼介,広島,東 克樹,DeNA,20,19,6,0,0,4,0.3158,0.3158,0.3684,0.6842,いいえ,当該打者と投手のシーズン対戦成績。打席数が少ない値の解釈に注意。
2026,2026-08-09,菊池 涼介,広島,村上 頌樹,阪神,13,10,0,0,0,2,0.0,0.0,0.0,0.0,いいえ,当該打者と投手のシーズン対戦成績。打席数が少ない値の解釈に注意。
2026,2026-08-09,菊池 涼介,広島,大野 雄大,中日,9,6,0,0,2,2,0.0,0.25,0.0,0.25,はい,当該打者と投手のシーズン対戦成績。打席数が少ない値の解釈に注意。
2026,2026-08-09,菊池 涼介,広島,髙橋 宏斗,中日,9,9,1,1,0,5,0.1111,0.1111,0.4444,0.5555,はい,当該打者と投手のシーズン対戦成績。打席数が少ない値の解釈に注意。
2026,2026-08-09,菊池 涼介,広島,柳 裕也,中日,8,7,1,0,1,2,0.1429,0.25,0.1429,0.3929,はい,当該打者と投手のシーズン対戦成績。打席数が少ない値の解釈に注意。
2026,2026-08-09,菊池 涼介,広島,山﨑 伊織,巨人,7,5,2,1,2,0,0.4,0.5714,1.0,1.5714,はい,当該打者と投手のシーズン対戦成績。打席数が少ない値の解釈に注意。
2026,2026-08-09,菊池 涼介,広島,戸郷 翔征,巨人,7,5,1,0,1,1,0.2,0.3333,0.2,0.5333,はい,当該打者と投手のシーズン対戦成績。打席数が少ない値の解釈に注意。
2026,2026-08-09,菊池 涼介,広島,才木 浩人,阪神,7,6,2,1,1,0,0.3333,0.4286,1.0,1.4286,はい,当該打者と投手のシーズン対戦成績。打席数が少ない値の解釈に注意。
2026,2026-08-09,菊池 涼介,広島,松本 健吾,ヤクルト,7,6,1,0,1,1,0.1667,0.2857,0.1667,0.4524,はい,当該打者と投手のシーズン対戦成績。打席数が少ない値の解釈に注意。
2026,2026-08-09,菊池 涼介,広島,金丸 夢斗,中日,7,7,3,0,0,2,0.4286,0.4286,0.5714,1.0,はい,当該打者と投手のシーズン対戦成績。打席数が少ない値の解釈に注意。
2026,2026-08-09,菊池 涼介,広島,高橋 奎二,ヤクルト,7,5,2,0,0,1,0.4,0.4,0.6,1.0,はい,当該打者と投手のシーズン対戦成績。打席数が少ない値の解釈に注意。
2026,2026-08-09,菊池 涼介,広島,マラー,中日,6,5,2,0,1,1,0.4,0.5,0.6,1.1,はい,当該打者と投手のシーズン対戦成績。打席数が少ない値の解釈に注意。
2026,2026-08-09,菊池 涼介,広島,井上 温大,巨人,6,6,1,0,0,3,0.1667,0.1667,0.1667,0.3334,はい,当該打者と投手のシーズン対戦成績。打席数が少ない値の解釈に注意。
2026,2026-08-09,菊池 涼介,広島,則本 昂大,巨人,6,6,4,0,0,1,0.6667,0.6667,0.6667,1.3334,はい,当該打者と投手のシーズン対戦成績。打席数が少ない値の解釈に注意。
2026,2026-08-09,菊池 涼介,広島,吉村 貢司郎,ヤクルト,6,6,0,0,0,0,0.0,0.0,0.0,0.0,はい,当該打者と投手のシーズン対戦成績。打席数が少ない値の解釈に注意。
2026,2026-08-09,菊池 涼介,広島,奥川 恭伸,ヤクルト,6,6,2,0,0,1,0.3333,0.3333,0.3333,0.6666,はい,当該打者と投手のシーズン対戦成績。打席数が少ない値の解釈に注意。
2026,2026-08-09,菊池 涼介,広島,山野 太一,ヤクルト,6,6,2,0,0,0,0.3333,0.3333,0.3333,0.6666,はい,当該打者と投手のシーズン対戦成績。打席数が少ない値の解釈に注意。
2026,2026-08-09,菊池 涼介,広島,平良 拳太郎,DeNA,6,6,1,0,0,3,0.1667,0.1667,0.1667,0.3334,はい,当該打者と投手のシーズン対戦成績。打席数が少ない値の解釈に注意。
2026,2026-08-09,菊池 涼介,広島,高梨 裕稔,ヤクルト,6,6,3,0,0,2,0.5,0.5,0.6667,1.1667,はい,当該打者と投手のシーズン対戦成績。打席数が少ない値の解釈に注意。
2026,2026-08-09,菊池 涼介,広島,伊勢 大夢,DeNA,5,4,1,0,1,2,0.25,0.4,0.25,0.65,はい,当該打者と投手のシーズン対戦成績。打席数が少ない値の解釈に注意。
2026,2026-08-09,菊池 涼介,広島,大竹 耕太郎,阪神,5,5,2,0,0,1,0.4,0.4,0.4,0.8,はい,当該打者と投手のシーズン対戦成績。打席数が少ない値の解釈に注意。
2026,2026-08-09,菊池 涼介,広島,竹田 祐,DeNA,5,3,0,0,2,1,0.0,0.4,0.0,0.4,はい,当該打者と投手のシーズン対戦成績。打席数が少ない値の解釈に注意。
2026,2026-08-09,松本 剛,巨人,金丸 夢斗,中日,16,16,2,0,0,1,0.125,0.125,0.125,0.25,いいえ,当該打者と投手のシーズン対戦成績。打席数が少ない値の解釈に注意。
2026,2026-08-09,松本 剛,巨人,大野 雄大,中日,13,10,0,0,0,1,0.0,0.0,0.0,0.0,いいえ,当該打者と投手のシーズン対戦成績。打席数が少ない値の解釈に注意。
2026,2026-08-09,松本 剛,巨人,山野 太一,ヤクルト,13,12,3,0,1,3,0.25,0.3077,0.25,0.5577,いいえ,当該打者と投手のシーズン対戦成績。打席数が少ない値の解釈に注意。
2026,2026-08-09,松本 剛,巨人,才木 浩人,阪神,11,9,2,0,1,4,0.2222,0.3,0.4444,0.7444,いいえ,当該打者と投手のシーズン対戦成績。打席数が少ない値の解釈に注意。
2026,2026-08-09,松本 剛,巨人,奥川 恭伸,ヤクルト,9,8,2,0,1,0,0.25,0.3333,0.25,0.5833,はい,当該打者と投手のシーズン対戦成績。打席数が少ない値の解釈に注意。
2026,2026-08-09,松本 剛,巨人,髙橋 遥人,阪神,8,8,2,0,0,0,0.25,0.25,0.25,0.5,はい,当該打者と投手のシーズン対戦成績。打席数が少ない値の解釈に注意。
2026,2026-08-09,松本 剛,巨人,涌井 秀章,中日,7,7,3,0,0,0,0.4286,0.4286,0.4286,0.8572,はい,当該打者と投手のシーズン対戦成績。打席数が少ない値の解釈に注意。
2026,2026-08-09,松本 剛,巨人,伊原 陵人,阪神,6,5,1,0,0,1,0.2,0.2,0.2,0.4,はい,当該打者と投手のシーズン対戦成績。打席数が少ない値の解釈に注意。
2026,2026-08-09,松本 剛,巨人,村上 頌樹,阪神,6,5,2,0,1,0,0.4,0.5,0.4,0.9,はい,当該打者と投手のシーズン対戦成績。打席数が少ない値の解釈に注意。
2026,2026-08-09,松本 剛,巨人,森 翔平,広島,6,6,3,0,0,0,0.5,0.5,0.5,1.0,はい,当該打者と投手のシーズン対戦成績。打席数が少ない値の解釈に注意。
2026,2026-08-09,松本 剛,巨人,玉村 昇悟,広島,6,6,3,0,0,2,0.5,0.5,0.5,1.0,はい,当該打者と投手のシーズン対戦成績。打席数が少ない値の解釈に注意。
2026,2026-08-09,松本 剛,巨人,松山 晋也,中日,5,5,1,0,0,0,0.2,0.2,0.2,0.4,はい,当該打者と投手のシーズン対戦成績。打席数が少ない値の解釈に注意。
2026,2026-08-09,石川 慎吾,ロッテ,田嶋 大樹,オリックス,5,4,1,1,0,0,0.25,0.4,1.0,1.4,はい,当該打者と投手のシーズン対戦成績。打席数が少ない値の解釈に注意。
2026,2026-08-09,近藤 健介,ソフトバンク,髙橋 光成,西武,20,16,3,1,4,2,0.1875,0.35,0.4375,0.7875,いいえ,当該打者と投手のシーズン対戦成績。打席数が少ない値の解釈に注意。
2026,2026-08-09,近藤 健介,ソフトバンク,伊藤 大海,日本ハム,18,17,6,2,0,3,0.3529,0.3889,0.7647,1.1536,いいえ,当該打者と投手のシーズン対戦成績。打席数が少ない値の解釈に注意。
2026,2026-08-09,近藤 健介,ソフトバンク,古謝 樹,楽天,18,14,6,0,4,0,0.4286,0.5556,0.4286,0.9842,いいえ,当該打者と投手のシーズン対戦成績。打席数が少ない値の解釈に注意。
2026,2026-08-09,近藤 健介,ソフトバンク,早川 隆久,楽天,13,13,3,0,0,1,0.2308,0.2308,0.3077,0.5385,いいえ,当該打者と投手のシーズン対戦成績。打席数が少ない値の解釈に注意。
2026,2026-08-09,近藤 健介,ソフトバンク,ジェリー,オリックス,11,10,0,0,1,2,0.0,0.0909,0.0,0.0909,いいえ,当該打者と投手のシーズン対戦成績。打席数が少ない値の解釈に注意。
2026,2026-08-09,近藤 健介,ソフトバンク,廣池 康志郎,ロッテ,10,10,4,1,0,0,0.4,0.4,0.7,1.1,いいえ,当該打者と投手のシーズン対戦成績。打席数が少ない値の解釈に注意。
2026,2026-08-09,近藤 健介,ソフトバンク,ウレーニャ,楽天,9,6,1,0,3,2,0.1667,0.4444,0.3333,0.7777,はい,当該打者と投手のシーズン対戦成績。打席数が少ない値の解釈に注意。
2026,2026-08-09,近藤 健介,ソフトバンク,武内 夏暉,西武,9,9,3,1,0,2,0.3333,0.3333,0.6667,1.0,はい,当該打者と投手のシーズン対戦成績。打席数が少ない値の解釈に注意。
