season,player_key,player_id,player,team,league,number,hand,qualified,games,innings,outs,batters_faced,pitches,hits_allowed,hr_allowed,so,bb,hbp,runs_allowed,earned_runs,wins,losses,saves,holds_official,holds_est,relief_wins,hp,era,fip,whip,k9,bb9,hr9,k_bb,k_pct,bb_pct,lob_pct_est,win_pct
2026,p1600155,1600155,山﨑 颯一郎,オリックス,パ,21,右投,False,39,39.2,119,163,653,29,4,41,14,1,16,12,2,4,0,14,15,2,17,2.72,3.11,1.08,9.3,3.18,0.91,2.93,0.252,0.086,0.729,0.333
2026,p800080,800080,岩嵜 翔,オリックス,パ,40,右投,False,12,10.1,31,52,218,11,1,9,9,1,10,10,0,2,0,2,2,0,2,8.71,5.15,1.94,7.84,7.84,0.87,1.0,0.173,0.173,0.561,0.0
2026,p2000102,2000102,川瀬 堅斗,オリックス,パ,94,右投,False,8,10.1,31,49,193,12,1,4,8,0,4,4,0,0,0,1,1,0,1,3.48,5.54,1.94,3.48,6.97,0.87,0.5,0.082,0.163,0.86,
2026,p600066,600066,平野 佳寿,オリックス,パ,16,右投,False,2,2,6,9,28,3,1,1,0,0,1,1,0,0,0,1,1,0,1,4.5,8.23,1.5,4.5,0.0,4.5,,0.111,0.0,1.0,
2026,p2107872,2107872,才木 海翔,オリックス,パ,95,右投,False,10,8,24,31,126,6,1,5,4,0,2,2,0,0,0,3,3,0,3,2.25,4.61,1.25,5.62,4.5,1.12,1.25,0.161,0.129,0.93,
2026,p1750595,1750595,曽谷 龍平,オリックス,パ,17,左投,False,9,54.2,164,223,866,50,7,52,7,3,24,21,4,4,0,0,0,0,0,3.46,3.04,1.04,8.56,1.15,1.15,7.43,0.233,0.031,0.717,0.5
2026,p2111998,2111998,東松 快征,オリックス,パ,48,左投,False,5,4,12,21,83,3,2,4,7,0,4,4,0,0,0,0,0,0,0,9.0,12.48,2.5,9.0,15.75,4.5,0.57,0.19,0.333,0.833,
2026,p1650221,1650221,椋木 蓮,オリックス,パ,15,右投,False,40,38.1,115,146,575,27,1,29,5,2,10,9,2,4,1,28,28,2,30,2.11,2.1,0.83,6.81,1.17,0.23,5.8,0.199,0.034,0.736,0.333
2026,p2103713,2103713,権田 琉成,オリックス,パ,98,右投,False,17,20.1,61,87,349,18,2,19,7,0,10,8,1,0,0,1,1,1,2,3.54,3.17,1.23,8.41,3.1,0.89,2.71,0.218,0.08,0.676,1.0
2026,p2103793,2103793,横山 楓,オリックス,パ,52,右投,False,7,6,18,27,118,6,0,11,2,1,2,2,1,1,0,1,1,1,2,3.0,0.56,1.33,16.5,3.0,0.0,5.5,0.407,0.074,0.778,0.5
2026,p2050019,2050019,片山 楽生,オリックス,パ,49,右投,False,19,29,87,123,457,28,3,19,10,1,14,14,1,1,0,1,1,1,2,4.34,3.9,1.31,5.9,3.1,0.93,1.9,0.154,0.081,0.718,0.5
2026,p1700109,1700109,田嶋 大樹,オリックス,パ,29,左投,False,12,51,153,226,837,62,11,34,13,4,39,39,2,5,0,0,0,0,0,6.88,5.2,1.47,6.0,2.29,1.94,2.62,0.15,0.058,0.629,0.286
2026,p2000101,2000101,阿部 翔太,オリックス,パ,20,右投,False,10,8,24,41,168,11,1,7,5,1,5,5,0,0,0,0,0,0,0,5.62,4.86,2.0,7.88,5.62,1.12,1.4,0.171,0.122,0.769,
2026,p1750543,1750543,髙島 泰都,オリックス,パ,96,右投,False,16,66,198,298,1137,85,5,57,17,5,32,29,4,3,0,1,1,0,1,3.95,2.99,1.55,7.77,2.32,0.68,3.35,0.191,0.057,0.75,0.571
2026,p2102649,2102649,髙谷 舟,オリックス,パ,43,右投,False,1,1,3,9,38,5,1,1,1,0,5,5,0,0,0,0,0,0,0,45.0,16.73,6.0,9.0,9.0,9.0,1.0,0.111,0.111,0.217,
2026,p2107849,2107849,齋藤 響介,オリックス,パ,26,右投,False,1,0.1,1,9,34,8,0,0,0,0,7,7,0,0,0,0,0,0,0,189.0,2.73,24.0,0.0,0.0,0.0,,0.0,0.0,0.125,
2026,p2105885,2105885,アルメンタ,ソフトバンク,パ,34,左投,False,2,4.2,14,28,110,6,0,5,5,3,7,7,0,2,0,0,0,0,0,13.5,5.73,2.36,9.64,9.64,0.0,1.0,0.179,0.179,0.5,0.0
2026,p1560184,1560184,オスナ,ソフトバンク,パ,54,右投,False,37,36.1,109,138,521,24,2,38,6,3,9,8,1,2,0,18,18,1,19,1.98,2.1,0.83,9.41,1.49,0.5,6.33,0.275,0.043,0.795,0.333
2026,p1900010,1900010,スチュワート・ジュニア,ソフトバンク,パ,2,右投,False,13,62.1,187,285,1149,71,6,55,29,3,37,35,6,4,0,0,0,0,0,5.05,3.76,1.6,7.94,4.19,0.87,1.9,0.193,0.102,0.698,0.6
2026,p1961052,1961052,ヘルナンデス,ソフトバンク,パ,63,左投,False,30,28.1,85,117,473,21,2,35,12,2,6,5,0,1,0,12,12,0,12,1.59,2.66,1.16,11.12,3.81,0.64,2.92,0.299,0.103,0.901,0.0
2026,p1100099,1100099,上沢 直之,ソフトバンク,パ,10,右投,False,14,85.1,256,356,1426,76,8,79,19,4,28,21,6,4,0,0,0,0,0,2.21,2.91,1.11,8.33,2.0,0.84,4.16,0.222,0.053,0.809,0.6
2026,p1800043,1800043,上茶谷 大河,ソフトバンク,パ,64,右投,False,30,60,180,238,919,48,8,54,16,2,15,13,7,0,1,10,10,4,14,1.95,3.56,1.07,8.1,2.4,1.2,3.38,0.227,0.067,0.931,1.0
2026,p1800054,1800054,中村 稔弥,ソフトバンク,パ,30,左投,False,7,10,30,38,132,7,1,8,0,1,3,3,0,0,0,0,0,0,0,2.7,2.73,0.7,7.2,0.0,0.9,,0.211,0.0,0.758,
2026,p2000008,2000008,伊藤 優輔,ソフトバンク,パ,42,右投,False,21,23,69,103,396,22,1,16,18,1,9,6,1,0,0,0,0,1,1,2.35,4.38,1.74,6.26,7.04,0.39,0.89,0.155,0.175,0.808,1.0
2026,p2104078,2104078,前田 悠伍,ソフトバンク,パ,41,左投,False,13,77,231,307,1197,57,7,59,20,3,15,15,10,0,0,0,0,0,0,1.75,3.28,1.0,6.9,2.34,0.82,2.95,0.192,0.065,0.926,1.0
2026,p2107792,2107792,前田 純,ソフトバンク,パ,51,左投,False,4,20.2,62,82,338,21,0,20,4,0,8,8,1,1,0,0,0,0,0,3.48,1.38,1.21,8.71,1.74,0.0,5.0,0.244,0.049,0.68,0.5
2026,p2121648,2121648,北斗,ソフトバンク,パ,43,右投,False,1,2,6,15,65,5,1,1,3,0,8,8,0,1,0,0,0,0,0,36.0,12.73,4.0,4.5,13.5,4.5,0.33,0.067,0.2,0.0,0.0
2026,p2110167,2110167,大山 凌,ソフトバンク,パ,53,右投,False,2,1,3,6,17,3,0,1,0,0,2,2,0,0,0,0,0,0,0,18.0,0.73,3.0,9.0,0.0,0.0,,0.167,0.0,0.333,
2026,p1600064,1600064,大江 竜聖,ソフトバンク,パ,29,左投,False,3,3,9,12,35,3,0,3,0,1,0,0,0,0,0,0,0,0,0,0.0,1.73,1.0,9.0,0.0,0.0,,0.25,0.0,1.0,
